,author,word_count,sentence_count,type_token_ratio,vocab_size,stopword_ratio,hapax_legomena_ratio,hapax_dislegomena_ratio,average_num_syllables,std_num_syllables,average_sent_len,std_sent_len,average_syllables_vocabulary,average_word_len,std_word_len,flesch_reading_ease,dale_chall_reading_ease,gunning_fog_index,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,adp_count,intj_count,num_count,part_count,propn_count,sym_count,x_count,period_count,exclam_count,quest_count,simple_count,compound_count,complex_count,compound_complex_count
22,215223,1000,80,0.504,504,0.484,0.368,0.073,1.371,0.6807047818254254,65.2875,47.830218938972045,1.5952380952380953,4.259,2.209959049394355,78.16090000000001,20.0465,7.6000000000000005,163,103,58,71,118,115,120,6,0,41,129,1,1,120,1,12,34,24,13,9
23,215223,1000,57,0.462,462,0.477,0.319,0.07,1.397,0.7425570685139291,94.6140350877193,76.69986033198586,1.658008658008658,4.433,2.4044772820719267,70.84178245614036,20.296675438596495,10.577543859649124,190,133,67,56,117,93,134,5,10,28,72,2,0,78,0,3,25,11,7,14
24,215223,1000,61,0.459,459,0.531,0.315,0.071,1.31,0.6195966429863867,80.09836065573771,51.02930849209504,1.5490196078431373,4.051,2.1578690877808135,79.36965573770493,20.239614754098362,8.597377049180327,167,125,70,65,180,81,127,7,5,35,42,0,3,78,1,5,19,12,9,21
25,215223,1000,83,0.432,432,0.556,0.274,0.068,1.33,0.6519969325081215,59.34939759036145,43.25364633558482,1.5555555555555556,4.1,2.2049943310584723,82.08808433734941,20.024090361445786,7.099277108433736,138,142,68,67,172,95,116,2,4,33,47,1,0,103,1,2,35,10,17,21
26,215223,1000,87,0.448,448,0.519,0.289,0.073,1.336,0.6411739233624524,57.89655172413793,36.066998473867926,1.5848214285714286,4.281,2.19226800368933,82.14273333333335,19.996614942528737,6.957701149425287,169,146,47,68,143,76,112,0,2,35,62,0,4,91,0,0,47,17,11,12
27,215223,1000,62,0.485,485,0.494,0.337,0.078,1.379,0.7108860668208373,81.20967741935483,50.85372352807742,1.6536082474226803,4.259,2.32291175036849,73.80063225806452,20.2265,9.731612903225807,170,134,68,77,124,112,101,0,3,28,63,0,2,66,0,1,19,18,9,16
28,215223,1000,75,0.539,539,0.472,0.413,0.06,1.357,0.7318135008320084,64.65333333333334,50.077138718403454,1.5936920222634507,4.219,2.53318751773334,78.49946666666669,20.087833333333336,8.213333333333333,169,148,69,65,157,91,93,7,6,42,90,0,1,100,6,5,38,10,15,12
29,215223,1000,78,0.482,482,0.501,0.326,0.081,1.358,0.669205499080813,61.05128205128205,48.836959899265835,1.595435684647303,4.256,2.233039184609173,78.93537948717949,20.062397435897438,7.888205128205129,149,126,65,92,115,105,113,4,7,35,81,0,3,99,0,3,47,6,11,14
30,215223,1000,71,0.433,433,0.539,0.288,0.063,1.303,0.6141587742595558,64.88732394366197,55.981523434774076,1.5473441108545034,4.1,2.272443618662518,82.30542535211269,20.125091549295774,7.873802816901409,152,137,75,67,158,98,117,1,4,49,33,0,0,65,0,5,32,14,10,15
31,215223,1000,94,0.476,476,0.521,0.338,0.057,1.35,0.713792686989717,49.58510638297872,44.28880305508959,1.6134453781512605,4.2,2.310411218809327,81.82712765957449,19.954159574468086,7.335319148936171,153,140,71,81,160,96,97,8,1,48,52,0,0,112,2,15,57,11,16,10
32,215223,1000,67,0.539,539,0.444,0.418,0.068,1.455,0.78865391649316,73.74626865671642,56.810589533043945,1.7365491651205938,4.515,2.5463257843410374,68.59274626865671,20.166798507462687,10.050149253731343,171,111,68,53,107,96,97,8,4,25,168,5,2,80,3,2,33,15,7,12
33,215223,1000,71,0.457,457,0.494,0.303,0.072,1.352,0.6588596208601647,63.929577464788736,64.94468370909958,1.5689277899343546,4.202,2.196632877838261,78.16002535211268,20.125091549295774,7.913802816901409,128,144,63,80,141,84,100,18,3,30,94,0,0,67,3,9,31,15,10,15
34,215223,1000,83,0.51,510,0.485,0.364,0.08,1.432,0.7650986864450887,56.53012048192771,52.11163580940894,1.7176470588235293,4.412,2.4880225079367753,73.45888433734943,20.024090361445786,8.619277108433735,142,129,70,82,123,83,128,3,7,33,112,0,1,80,5,5,50,11,12,10
35,215223,1000,72,0.487,487,0.501,0.352,0.058,1.34,0.6406246951218787,59.90277777777778,50.55117311591356,1.5790554414784395,4.135,2.1874128554070444,79.37377777777778,20.115388888888887,7.7955555555555565,165,125,72,64,122,96,128,3,5,31,92,0,0,79,4,1,43,8,7,14
36,215223,1000,67,0.473,473,0.53,0.331,0.069,1.379,0.7206656645074746,62.6865671641791,51.52342141092029,1.657505285412262,4.14,2.300956322923145,75.02234626865672,20.166798507462687,8.850149253731344,156,138,73,85,187,92,110,4,4,37,21,1,2,74,1,6,27,11,16,13
37,215223,1000,58,0.443,443,0.546,0.299,0.073,1.337,0.6553098503761409,72.24137931034483,38.399582587901776,1.5891647855530473,4.093,2.251299846755203,76.22480000000002,20.281672413793103,9.456551724137933,163,147,53,71,146,112,120,3,7,37,23,1,2,52,1,4,9,16,14,19
38,215223,1000,80,0.519,519,0.507,0.379,0.072,1.395,0.7148251534466313,54.8625,50.765821117657495,1.6396917148362236,4.364,2.3553139918066126,76.13050000000001,20.0465,7.88,147,119,77,67,145,89,99,5,3,49,89,2,0,84,1,10,47,10,12,11
39,215223,1000,77,0.504,504,0.532,0.374,0.07,1.346,0.7030533407928591,54.64935064935065,42.33808461266585,1.5932539682539681,4.16,2.236604569431083,79.78158181818182,20.070655844155844,8.234805194805196,159,143,59,62,140,103,118,5,8,41,43,0,0,73,0,4,43,14,12,8
40,216413,1000,169,0.446,446,0.512,0.302,0.071,1.438,0.8415200532369981,75.76331360946746,59.418809034904946,1.7668161434977578,4.538,2.8911167392549197,79.17428284023673,19.719991124260353,5.846863905325444,202,123,94,83,121,97,112,5,6,32,24,12,0,159,0,12,75,22,29,43
41,216413,1000,153,0.428,428,0.541,0.265,0.076,1.356,0.7164244551939862,56.77124183006536,57.127136819579505,1.591121495327103,4.146,2.2357736915886632,85.48341307189543,19.75068300653595,5.85437908496732,125,134,74,125,131,81,94,9,1,41,46,1,0,160,4,9,80,25,24,24
42,216413,1000,94,0.407,407,0.553,0.267,0.06,1.337,0.6476349280265851,92.01063829787235,72.2160609649592,1.6216216216216217,4.233,2.2778742283102464,82.92692765957449,19.954159574468086,6.85531914893617,156,158,61,69,151,89,136,3,9,34,14,0,0,91,0,18,29,12,31,22
43,216413,1000,135,0.391,391,0.572,0.247,0.068,1.333,0.6512380517138108,63.49629629629629,44.535774063866505,1.649616368286445,4.18,2.1479292353334176,86.54468148148152,19.79390740740741,5.322962962962963,152,130,55,80,197,89,124,2,5,24,15,0,0,110,1,24,48,8,55,24
44,216413,1000,185,0.407,407,0.538,0.247,0.073,1.331,0.652256851248034,45.85405405405405,46.905486307326655,1.5528255528255528,4.113,2.1485415983871476,88.74591351351353,19.694608108108106,4.4421621621621625,141,127,73,99,124,99,88,5,7,35,43,0,0,197,0,2,108,16,34,27
45,216413,1000,103,0.438,438,0.5,0.289,0.066,1.554,0.9290231428764302,90.47572815533981,67.99055397843904,1.9200913242009132,4.686,2.7028510872780247,65.51223106796118,19.90805339805825,9.683495145631069,216,113,100,67,107,113,111,1,2,32,25,0,3,103,0,5,40,11,34,18
46,216413,1000,140,0.428,428,0.485,0.275,0.069,1.38,0.6982836100038435,59.55,48.35631514379186,1.6658878504672898,4.337,2.296830642428823,82.83700000000003,19.780785714285713,5.537142857142857,235,118,87,68,118,116,103,4,5,20,14,0,0,138,0,5,72,14,34,20
47,216413,1000,115,0.387,387,0.562,0.253,0.048,1.341,0.6787628451823213,66.85217391304347,56.72929516622528,1.6744186046511629,4.122,2.2656380999621275,84.56031304347827,19.85780434782609,6.1982608695652175,182,125,64,65,139,96,135,0,8,33,15,1,3,158,0,1,62,12,24,17
48,216413,1000,102,0.388,388,0.518,0.238,0.063,1.366,0.6403467810491437,77.83333333333333,51.04978026749456,1.5824742268041236,4.356,2.104581668645814,81.32041960784316,19.912774509803924,6.121568627450981,193,123,72,76,123,127,111,2,1,34,25,0,0,100,0,7,31,16,31,24
49,216413,1000,111,0.464,464,0.479,0.304,0.078,1.378,0.7260275476867252,68.990990990991,60.16935490919865,1.6336206896551724,4.392,2.2987683658863935,81.11205585585587,19.87334684684685,6.323603603603605,175,118,100,85,102,95,115,6,1,25,61,0,1,101,0,9,55,17,22,17
50,216413,1000,106,0.434,434,0.512,0.299,0.06,1.37,0.6863672486358888,72.11320754716981,57.74608060778409,1.6566820276497696,4.305,2.262294189534155,81.3575283018868,19.89442452830189,6.493584905660379,170,145,67,72,148,88,113,2,3,30,33,0,1,95,0,14,51,12,17,26
51,216413,1000,87,0.376,376,0.604,0.236,0.06,1.311,0.6710283153489128,82.26436781609195,71.13472078009734,1.5930851063829787,4.058,2.197415754926682,84.25773333333336,19.996614942528737,6.837701149425287,115,137,58,74,211,83,118,4,1,33,10,1,0,77,0,10,28,12,18,29
52,216413,1000,106,0.448,448,0.485,0.304,0.066,1.476,0.8315190917832254,69.66981132075472,56.91548214248536,1.7924107142857142,4.609,2.473483171561917,72.38992830188681,19.89442452830189,8.413584905660377,232,132,94,70,117,105,120,3,3,15,7,2,0,103,2,5,49,8,30,19
53,216413,1000,115,0.49,490,0.47,0.358,0.057,1.453,0.7808911575885592,59.721739130434784,67.26903129143803,1.7306122448979593,4.554,2.6166933331974533,75.08511304347826,19.85780434782609,7.318260869565217,201,125,92,92,114,87,118,6,4,30,49,0,0,131,5,4,68,10,23,14
54,216413,1000,78,0.481,481,0.46,0.334,0.068,1.543,0.8271342091825244,91.92307692307692,104.38965088094396,1.8232848232848233,4.695,2.4645435682900794,63.28437948717951,20.062397435897438,10.608205128205128,240,104,102,56,89,102,119,0,11,27,36,0,0,75,0,5,38,12,11,17
55,216413,1000,64,0.386,386,0.548,0.236,0.06,1.328,0.624832777629343,94.3125,72.76565016372767,1.6062176165803108,4.156,2.205825015725409,78.62682500000001,20.201500000000003,8.49,131,136,75,100,182,75,102,3,4,28,15,1,0,60,0,4,23,13,8,20
56,216413,1000,103,0.43,430,0.484,0.284,0.07,1.415,0.8116495549188701,61.786407766990294,50.609805735750705,1.7372093023255815,4.374,2.56478537113732,77.2716310679612,19.90805339805825,7.283495145631068,210,114,113,84,111,104,98,9,1,31,8,0,1,102,1,1,55,10,20,18
57,216413,1000,78,0.422,422,0.529,0.273,0.066,1.525,0.8759994292235583,83.8974358974359,65.67784424137724,1.8412322274881516,4.632,2.5547164226191525,64.8071794871795,20.062397435897438,10.648205128205129,181,125,91,67,128,100,107,3,4,44,20,0,0,75,0,5,30,7,27,14
58,216413,1000,78,0.365,365,0.545,0.22,0.057,1.298,0.5667415636778371,73.02564102564102,49.13977300777602,1.5643835616438355,3.974,2.139935513047064,84.01137948717948,20.062397435897438,6.888205128205128,136,168,52,89,177,80,91,8,4,38,10,0,0,60,1,19,25,12,18,23
59,216413,1000,89,0.424,424,0.486,0.279,0.056,1.355,0.6457360141729745,66.65168539325843,63.07015910134969,1.5919811320754718,4.254,2.152088288151766,80.79750561797754,19.983803370786518,7.014382022471911,188,98,87,82,92,95,120,4,6,27,53,1,3,77,9,4,49,15,16,9
60,216413,1000,81,0.443,443,0.494,0.301,0.062,1.451,0.9641571448679929,78.18518518518519,63.47121659521596,1.8284424379232507,4.62,3.2920510324112535,71.54953580246915,20.038845679012347,8.738271604938271,235,125,91,59,138,79,120,2,5,33,10,2,1,90,5,4,33,9,17,22
61,216413,1000,58,0.402,402,0.544,0.254,0.074,1.329,0.6471159092465584,92.8103448275862,83.0972543835715,1.599502487562189,4.196,2.218464333722767,76.90160000000002,20.281672413793103,9.256551724137932,159,143,52,90,167,93,125,0,3,25,13,0,1,49,0,9,28,7,11,12
62,216413,1000,93,0.392,392,0.566,0.244,0.059,1.333,0.6649142801895596,58.333333333333336,75.8011452424809,1.655612244897959,4.143,2.191472336124734,83.14922150537637,19.959833333333336,6.821075268817204,124,147,73,103,186,69,85,6,1,62,17,2,1,99,4,7,52,7,17,17
63,216413,1000,73,0.44,440,0.51,0.285,0.064,1.378,0.7022221870604772,75.24657534246575,61.74578479804525,1.6681818181818182,4.307,2.304506671719568,76.35209041095892,20.10595205479452,8.83945205479452,188,114,93,93,122,90,112,4,9,33,18,0,0,73,2,6,31,12,14,16
64,216413,1000,67,0.478,478,0.494,0.329,0.07,1.391,0.7057754600437735,81.65671641791045,58.76935749404501,1.6317991631799162,4.381,2.2306588712754807,74.00714626865673,20.166798507462687,8.970149253731345,178,117,97,102,90,94,113,3,4,28,33,0,0,73,1,0,26,12,13,16
65,216413,1000,80,0.408,408,0.484,0.26,0.061,1.315,0.6555722690901439,64.8625,55.89448625535439,1.5931372549019607,4.158,2.2673852782445243,82.89850000000003,20.0465,7.359999999999999,186,133,107,87,143,82,114,1,3,31,9,0,0,78,1,0,40,8,15,17
66,216413,1000,69,0.463,463,0.5,0.32,0.069,1.372,0.673510207791983,76.7536231884058,65.86534480508543,1.6004319654427646,4.275,2.1404146794488215,76.05365507246378,20.145340579710144,8.597101449275362,174,97,80,106,71,119,137,7,6,17,54,0,1,73,1,0,30,8,11,20
67,216413,1000,45,0.395,395,0.55,0.258,0.056,1.357,0.6837770104354197,116.42222222222222,93.40223382741237,1.6835443037974684,4.169,2.1601942042325732,69.47724444444448,20.52872222222222,11.60888888888889,162,118,71,94,137,95,120,0,8,34,21,0,1,41,1,2,9,4,17,15
68,216413,1000,56,0.433,433,0.513,0.28,0.06,1.427,0.7554276934293579,95.85714285714286,71.70759786686997,1.7228637413394918,4.453,2.343030302834345,67.98580000000001,20.312214285714283,11.062857142857144,216,124,64,71,111,108,125,1,5,18,18,0,1,48,0,8,19,10,10,17
69,216413,1000,59,0.451,451,0.523,0.307,0.068,1.388,0.7371946825635682,89.16949152542372,65.43729112083551,1.687361419068736,4.349,2.324478221020795,72.20681016949153,20.2671779661017,9.939661016949154,152,165,64,74,158,82,105,5,0,40,27,0,0,67,0,3,17,12,11,19
70,216413,1000,86,0.472,472,0.529,0.325,0.074,1.378,0.7356058727334903,58.51162790697674,51.8384664990953,1.6588983050847457,4.242,2.6255353739761342,78.45387441860468,20.003244186046516,7.771162790697675,152,113,92,99,128,99,102,17,2,39,25,1,0,90,2,6,42,13,14,17
71,216413,1000,53,0.423,423,0.504,0.282,0.061,1.345,0.6693093455196932,93.47169811320755,68.93108501991009,1.6193853427895981,4.126,2.187721188817259,73.8970566037736,20.362349056603776,10.107169811320757,176,139,70,69,139,73,129,5,5,39,44,0,0,55,1,0,15,15,8,15
72,216413,1000,99,0.48,480,0.489,0.327,0.078,1.334,0.6422180315126632,49.90909090909091,55.58833009371568,1.5354166666666667,4.137,2.146679063111205,83.72607474747475,19.9275101010101,6.560404040404041,150,131,102,78,129,80,101,14,2,37,46,0,0,113,1,5,62,9,16,12
73,216413,1000,58,0.447,447,0.536,0.294,0.066,1.348,0.6670052473556711,89.24137931034483,79.1642357304557,1.6308724832214765,4.316,2.260120350777808,75.2942,20.281672413793103,9.536551724137933,155,128,87,117,152,86,81,2,1,35,10,0,1,59,2,2,19,8,8,23
74,216413,1000,59,0.443,443,0.502,0.301,0.059,1.418,0.7597868122045814,86.7457627118644,87.30301666800251,1.7313769751693002,4.379,2.4958683859530737,69.66881016949154,20.2671779661017,10.619661016949152,203,147,68,59,106,132,133,7,7,28,29,3,2,64,0,0,28,5,15,11
75,216413,1000,75,0.469,469,0.462,0.312,0.077,1.458,0.8063721225340073,66.33333333333333,45.02305582205139,1.7739872068230278,4.454,2.4445621284802725,69.95486666666669,20.087833333333336,9.093333333333334,208,130,92,87,94,113,120,5,6,30,31,0,4,69,5,3,34,5,23,13
76,216413,1000,30,0.453,453,0.538,0.314,0.063,1.442,0.8394259943556668,167.2,127.31258120599604,1.8057395143487858,4.436,2.5733060447603195,51.00846666666668,21.079833333333333,17.293333333333333,178,138,72,69,122,93,123,3,5,36,16,0,1,27,0,2,5,2,6,17
77,216413,1000,61,0.457,457,0.507,0.309,0.07,1.388,0.6629147758196373,76.8360655737705,55.544747970831956,1.6520787746170678,4.258,2.2206836785098414,72.77085573770493,20.239614754098362,9.397377049180326,188,117,98,76,137,96,117,1,3,12,27,0,0,62,0,2,25,14,7,15
78,216413,1000,58,0.486,486,0.499,0.346,0.072,1.399,0.7181914786461895,81.3103448275862,86.6563181723724,1.6934156378600822,4.386,2.3797067046171887,70.97960000000002,20.281672413793103,10.256551724137934,192,137,75,72,124,91,99,16,3,53,17,0,1,58,0,1,24,12,12,10
79,216413,1000,76,0.421,421,0.505,0.273,0.06,1.419,0.799649298130124,59.828947368421055,56.858640078035165,1.7434679334916865,4.345,2.6690775560106905,73.43233684210527,20.07913157894737,8.183157894736842,198,123,71,80,140,96,128,7,2,35,28,6,2,69,13,1,49,2,16,9
80,470861,1000,378,0.434,434,0.527,0.295,0.062,1.288,0.5771100414998859,55.27777777777778,38.169762587866714,1.5207373271889402,3.937,2.0613177823906725,95.18501481481482,19.55771693121693,2.8582010582010584,175,155,53,55,153,88,132,10,4,48,16,0,0,383,12,14,173,53,87,65
81,470861,1000,276,0.449,449,0.516,0.298,0.075,1.364,0.723535762765048,47.90217391304348,38.92869543932131,1.621380846325167,4.178,2.414190547574901,87.76306376811594,19.606210144927537,4.649275362318841,136,152,57,78,168,81,94,16,2,30,64,0,0,512,32,42,145,38,60,33
82,470861,1000,195,0.454,454,0.539,0.322,0.069,1.429,0.8154501824145973,53.61025641025641,32.71966236168184,1.7180616740088106,4.3,2.5467626508962313,80.7364717948718,19.680858974358976,6.131282051282051,182,127,78,54,150,80,144,1,4,36,23,0,0,191,3,5,89,24,40,42
83,470861,1000,260,0.435,435,0.547,0.295,0.062,1.35,0.7453187237685633,37.676923076923075,30.88383081674227,1.6022988505747127,4.026,2.223808444988012,88.72115384615385,19.61726923076923,4.258461538461539,134,117,59,75,180,89,109,16,2,35,63,1,0,324,17,23,168,31,30,31
84,470861,1000,213,0.448,448,0.55,0.306,0.06,1.309,0.6629622915370074,37.990610328638496,27.029108046458422,1.5401785714285714,3.984,2.251165031711358,91.32834178403759,19.659363849765256,4.19793427230047,120,149,62,75,195,72,84,7,2,31,50,1,0,337,12,37,112,23,46,32
85,470861,1000,160,0.452,452,0.526,0.316,0.059,1.343,0.695234492815194,48.0375,34.72677056321247,1.595132743362832,4.129,2.292675075103317,86.87345000000002,19.7365,5.46,167,123,71,73,165,72,114,5,2,35,47,0,3,260,72,15,82,30,30,18
86,470861,1000,185,0.422,422,0.575,0.278,0.071,1.299,0.6584823460048114,40.15675675675676,29.908550169895513,1.5592417061611374,3.891,2.2678445713937276,91.45311351351354,19.694608108108106,4.482162162162163,122,133,70,78,193,81,100,13,4,30,30,0,1,192,6,19,103,15,51,16
87,470861,1000,198,0.438,438,0.54,0.296,0.07,1.321,0.6840752882541512,37.323232323232325,24.486371506454084,1.5799086757990868,3.92,2.2071701339044982,89.9521373737374,19.677005050505052,4.62020202020202,141,140,51,86,156,84,130,12,5,26,43,0,0,162,17,27,119,35,19,25
88,470861,1000,188,0.436,436,0.55,0.292,0.074,1.327,0.6633784741759413,39.71808510638298,33.90663483294803,1.5802752293577982,4.009,2.184701123723792,89.17186382978724,19.69032978723404,4.407659574468085,144,147,68,70,189,72,108,7,7,34,19,0,0,220,13,22,106,11,49,22
89,470861,1000,171,0.483,483,0.525,0.336,0.074,1.363,0.7383975893785136,41.67251461988304,33.77528602851893,1.608695652173913,4.137,2.2812783696866106,85.58952748538013,19.716558479532168,5.139181286549708,137,145,55,78,157,86,100,6,6,44,49,0,0,149,10,17,84,21,46,20
90,470861,1000,142,0.434,434,0.543,0.288,0.066,1.305,0.6418527868600401,49.429577464788736,32.94241623113593,1.5714285714285714,4.072,2.2074455825682318,89.28411267605637,19.77579577464789,5.016901408450704,180,135,57,62,151,105,119,9,6,31,23,0,0,169,45,9,68,21,25,28
91,470861,1000,114,0.409,409,0.574,0.264,0.066,1.292,0.6314554616122978,60.271929824561404,33.92051728330518,1.5207823960880196,3.947,2.156430151894561,88.62829122807018,19.86158771929825,6.028771929824562,149,135,43,68,150,80,135,3,3,34,37,2,1,108,4,6,39,20,29,26
92,470861,1000,119,0.412,412,0.537,0.265,0.069,1.353,0.7130154276030778,58.285714285714285,41.49620674314254,1.6771844660194175,4.109,2.2398926313553518,83.84178823529413,19.84330672268908,6.441344537815127,162,132,71,72,143,88,118,0,5,35,33,0,1,137,0,9,49,22,29,19
93,470861,1000,169,0.416,416,0.538,0.276,0.063,1.295,0.7628728596561816,39.30177514792899,26.58397540489646,1.5264423076923077,3.862,2.3679011803704983,91.27208284023672,19.719991124260353,4.6068639053254445,133,139,46,57,186,68,110,12,3,37,70,0,1,144,6,20,92,31,23,23
94,470861,1000,147,0.385,385,0.562,0.233,0.061,1.287,0.6217965905342356,45.29251700680272,25.660051506661883,1.5220779220779221,3.891,2.1686675632747403,91.05003809523812,19.763914965986395,4.96108843537415,128,160,44,63,198,77,111,4,2,48,36,0,0,125,18,8,63,31,33,20
